pair_id,analysis_cluster,path,label,duration_s,bonafide_logit,spoof_logit,inferred_normalization,peak_limited
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,hindi_griffinlim_eval_final/real_hindi/hindi_real_0000.wav,1,4.5,-1.3034747838974,2.000537157058716,rms_matched,False
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0000.wav,0,4.5,-2.8053395748138428,3.7255284786224365,rms_matched,False
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,hindi_griffinlim_eval_final/real_hindi/hindi_real_0001.wav,1,4.464,-2.1924073696136475,3.058718681335449,rms_matched,False
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0001.wav,0,4.464,-4.780567646026611,5.579265117645264,rms_matched,False
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,hindi_griffinlim_eval_final/real_hindi/hindi_real_0002.wav,1,6.624,5.46661376953125,-6.956450462341309,rms_matched,False
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0002.wav,0,6.624,-0.4745744466781616,0.9831240773200989,rms_matched,False
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,hindi_griffinlim_eval_final/real_hindi/hindi_real_0003.wav,1,3.204,6.253296852111816,-8.05322265625,rms_matched,False
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0003.wav,0,3.204,5.680367946624756,-7.373922348022461,rms_matched,False
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,hindi_griffinlim_eval_final/real_hindi/hindi_real_0004.wav,1,4.392,5.376658916473389,-6.8581647872924805,rms_matched,False
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0004.wav,0,4.392,-4.323846817016602,5.246596813201904,rms_matched,False
5,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,hindi_griffinlim_eval_final/real_hindi/hindi_real_0005.wav,1,4.704,4.774144172668457,-6.012704372406006,rms_matched,False
5,f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0005.wav,0,4.704,4.332098960876465,-5.660590171813965,rms_matched,False
6,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,hindi_griffinlim_eval_final/real_hindi/hindi_real_0006.wav,1,3.78,-2.6870534420013428,3.4433107376098633,rms_matched,False
6,c8eabd52eef7e16e14998264ec78831ec7b891135ad93c446e459d4643b02c721b412f4fc828522a478fdbd2d5f4ca9838991a89368c78cb7f0617b3837a00ca,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0006.wav,0,3.78,-0.7153568267822266,1.0888500213623047,rms_matched,False
7,64fcf403ddfb930184eae9b9ad9fbb9a712ebab06fdb5e7dbe7621dcd2cd5101f593c37e8e254ff38294b6dcc8bec4808c197c2d7599c0c4126045b1ac9b51d0,hindi_griffinlim_eval_final/real_hindi/hindi_real_0007.wav,1,3.144,-1.4808200597763062,1.9666965007781982,rms_matched,False
7,64fcf403ddfb930184eae9b9ad9fbb9a712ebab06fdb5e7dbe7621dcd2cd5101f593c37e8e254ff38294b6dcc8bec4808c197c2d7599c0c4126045b1ac9b51d0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0007.wav,0,3.144,5.371298789978027,-6.766499042510986,rms_matched,False
8,f552d4cedc22293c27ab4a86fc3985ecf1bd8fe9e6664f6a835675acf4173fa94bfa392ddccd06a177ae2bf6e412212f42973dec10c26a7cfa02c48ddd7c7978,hindi_griffinlim_eval_final/real_hindi/hindi_real_0008.wav,1,4.176,-1.3778607845306396,1.9263800382614136,rms_matched,False
