pair_id,analysis_cluster,label,path,duration_s,leading_silence_ms,trailing_silence_ms,score_original,score_trimmed,delta_score
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0000.wav,4.5,0.0,0.0,-1.3069411516189575,-1.3069411516189575,0.0
0,2f0f109ed0afdb1a06c0ad751e352d0e0dc41767609a511c4b9111a62769bc467468b5f4d3cf2c618cc479ca33b2a7b3412b01d883cfcb15d8cb23222912fd16,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0000.wav,4.5,0.0,0.0,-2.8055248260498047,-2.8055248260498047,0.0
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0001.wav,4.464,32.0,336.0,-2.1930551528930664,-1.6346479654312134,0.558407187461853
1,17e10c81b592f9aa499bd3ea283821d28dee580e2bfbf51ca891c71024bf0736cc26c5ef9790ef591ff7cf3136930b935c33bc7fb1c65c080ff270baf27c8fe5,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0001.wav,4.464,32.0,336.0,-4.786264896392822,-4.257117748260498,0.5291471481323242
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0002.wav,6.624,992.0,1280.0,5.4612531661987305,-2.4455597400665283,-7.906812906265259
2,bd008914e8d61f280ef49d1b81b9ba5feafa0195842fb73953d414962085d13881380f143efa9cc3014fb5083f2ca49ec0ac216b23e48f676493303b320d17d3,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0002.wav,6.624,0.0,0.0,-0.47381532192230225,-0.47381532192230225,0.0
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0003.wav,3.204,1024.0,708.0,6.255145072937012,-3.644174814224243,-9.899319887161255
3,76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0003.wav,3.204,0.0,0.0,5.6803388595581055,5.6803388595581055,0.0
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0004.wav,4.392,640.0,1224.0,5.376893043518066,-4.92773962020874,-10.304632663726807
4,ef72dad515c406393c07ffac9b57e6cd1e83073c82a001d49ea19a30fd9976d0d50d4c5cffcfdbec8ea222c152695775d85c227194f2e56516531e1c8e76ff70,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0004.wav,4.392,0.0,0.0,-4.321958065032959,-4.321958065032959,0.0
